 494 ( 1EE): AirlockEjectZoomPriority
 495 ( 1EF): MapZoomPriority
 496 ( 1F0): TemporaryZoomPriority
 497 ( 1F1): ObjectPanningZoomPriority
 498 ( 1F2): GalaxyScreenshotZoomPriority
 499 ( 1F3): MissileZoomPriority
 500 ( 1F4): LessUrgentCatchSelfZoomPriority
 501 ( 1F5): MissionListingsZoomPriority
 502 ( 1F6): InteriorZoomPriority
 503 ( 1F7): LegendsPriority
 504 ( 1F8): DialogZoomPriority
 505 ( 1F9): EnemyAutoZoomPriority
 506 ( 1FA): CaptureDockingZoomPriority
 507 ( 1FB): CreditsPriority
 508 ( 1FC): ShortTermManualZoomPriority
 509 ( 1FD): ScanZoomPriority
 510 ( 1FE): DeathZoomPriority
 511 ( 1FF): CharacterSelectZoomPriority
 512 ( 200): CatchSelfZoomPriority
 513 ( 201): TutorialZoomPriority
 514 ( 202): TutorialSlowZoom
 515 ( 203): TutorialPodZoomPriority
 516 ( 204): InstantZoomPriority
 517 ( 205): EndGamePriority
 518 ( 206): LocalColourHasEverBeenSet
 519 ( 207): SecondsSinceColourChange
 520 ( 208): LocalColour
 521 ( 209): VapourColour
 522 ( 20A): OldLocalColour
 523 ( 20B): TargetLocalColour
 524 ( 20C): PanMode
 525 ( 20D): SecondsSinceManualZoom
 526 ( 20E): CenterOnX
 527 ( 20F): CenterOnY
 528 ( 210): ZoomLevel
 529 ( 211): MinimumZoomLevel
 530 ( 212): DefaultGalacticZoomLevel
 531 ( 213): GalacticZoomIconThreshold
 532 ( 214): MapModeThreshold
 533 ( 215): MinimumNormalZoomIndex
 534 ( 216): MinimumNormalZoom
 535 ( 217): ZoomIndex
 536 ( 218): PreviousZoomIndex
 537 ( 219): UndockZoomIndex
 538 ( 21A): DefaultInteriorZoom
 539 ( 21B): LastZoomLevel
 540 ( 21C): TargetZoom
 541 ( 21D): AutoZoom
 542 ( 21E): OldZoom
 543 ( 21F): ZoomHasChanged
 544 ( 220): ZoomSmoothing
 545 ( 221): SmoothZoom
 546 ( 222): MapKeyMode
 547 ( 223): MinAutoZoom
 548 ( 224): SurfacesCreated
 549 ( 225): HUDTrackingRange
 550 ( 226): AnyShipsInRange
 551 ( 227): MissionBeaconInRange
 552 ( 228): xOffset
 553 ( 229): yOffset
 554 ( 22A): DangerousSituation
 555 ( 22B): SecondsSinceSave
 556 ( 22C): SecondsUntilAutoZoom
 557 ( 22D): ZoomIncrement
 558 ( 22E): ZoomInMax
 559 ( 22F): SurfaceRange
 560 ( 230): xDistanceToMoveEverything
 561 ( 231): yDistanceToMoveEverything
 562 ( 232): SourceObject
 563 ( 233): SecondsToLerp
 564 ( 234): Pan
 565 ( 235): PanTipIndex
 566 ( 236): PanLeft
 567 ( 237): PanRight
 568 ( 238): PanUp
 569 ( 239): PanDown
 570 ( 23A): RightStickDistance
 571 ( 23B): GamepadMode
 572 ( 23C): RightStickDirection
 573 ( 23D): LeftStickDistance
 574 ( 23E): Thrust
 575 ( 23F): Acceleration
 576 ( 240): FocusX
 577 ( 241): FocusY
 578 ( 242): Mode
 579 ( 243): StraighteningSpeed
 580 ( 244): TimeGroup
 581 ( 245): AsteroidAlpha
 582 ( 246): StarAlpha
 583 ( 247): MaxColourSectorX
 584 ( 248): MaxColourSectorY
 585 ( 249): ColourGrid
 586 ( 24A): Radius
 587 ( 24B): ZoomTipIndex
 588 ( 24C): ManualViewSizeToRestore
 589 ( 24D): Magnitude
 590 ( 24E): TotalSeconds
 591 ( 24F): SecondsLeft
 592 ( 250): DirectionVariance
 593 ( 251): GameRunning
 594 ( 252): InventoryScrollLock
 595 ( 253): ZoomIn
 596 ( 254): TipProgress
 597 ( 255): ZoomOut
 598 ( 256): GradualZoomIn
 599 ( 257): GradualZoomOut
 600 ( 258): Station
 601 ( 259): ModuleCount
 602 ( 25A): ModuleList
 603 ( 25B): Segment
 604 ( 25C): MaxStations
 605 ( 25D): ObjectToUnlock
 606 ( 25E): ChallengeFilename
 607 ( 25F): ChallengeCompleted
 608 ( 260): ChallengeStation
 609 ( 261): CharSelectable
 610 ( 262): Fore
 611 ( 263): Starboard
 612 ( 264): IsChallengeCharacter
 613 ( 265): PersonalMission
 614 ( 266): PersonalMissionState
 615 ( 267): PodSaveState
 616 ( 268): FirstAirlock
 617 ( 269): MyAirlock
 618 ( 26A): xReal
 619 ( 26B): yReal
 620 ( 26C): Bleeding
 621 ( 26D): GettingUp
 622 ( 26E): IsPersonalMission
 623 ( 26F): GuardKit
 624 ( 270): Inventory
 625 ( 271): Ammo
 626 ( 272): Description
 627 ( 273): InventoryCount
 628 ( 274): BaseName
 629 ( 275): Save
 630 ( 276): DefectorID
 631 ( 277): Status
 632 ( 278): GalaxyFolder
 633 ( 279): CharExtra
 634 ( 27A): DailyChallenge
 635 ( 27B): Spin
 636 ( 27C): InRange
 637 ( 27D): CenterFore
 638 ( 27E): CenterStarboard
 639 ( 27F): State
 640 ( 280): Walking
 641 ( 281): CursorDistance
 642 ( 282): NearestCharacter
 643 ( 283): Highlighted
 644 ( 284): Loot
 645 ( 285): IsLiberator
 646 ( 286): SecondsSinceLastLiberation
 647 ( 287): PersonalMissionRescueAgent
 648 ( 288): ExtraCharacters
 649 ( 289): DailyChallengeType
